result_id,work_order_id,product_id,lot_id,process_id,equipment_id,production_date,shift,produced_qty,defect_qty
RESULT-6063,WO-5007,PROD-A,LOT-L24015,PR-04,EQ-21,2026-02-15,NIGHT,110,2
RESULT-6064,WO-5008,PROD-A,LOT-L24016,PR-01,EQ-01,2026-02-18,DAY,171,3
RESULT-6065,WO-5008,PROD-A,LOT-L24016,PR-02,EQ-02,2026-02-18,DAY,117,1
RESULT-6066,WO-5008,PROD-A,LOT-L24016,PR-03,EQ-12,2026-02-18,NIGHT,140,2
RESULT-6067,WO-5008,PROD-A,LOT-L24016,PR-04,EQ-21,2026-02-18,NIGHT,175,3
RESULT-6068,WO-5008,PROD-A,LOT-L24017,PR-01,EQ-01,2026-02-21,DAY,112,1
RESULT-6069,WO-5008,PROD-A,LOT-L24017,PR-02,EQ-02,2026-02-21,DAY,95,2
RESULT-6070,WO-5008,PROD-A,LOT-L24017,PR-03,EQ-11,2026-02-21,NIGHT,174,3
RESULT-6071,WO-5008,PROD-A,LOT-L24017,PR-04,EQ-21,2026-02-21,DAY,186,2
RESULT-6072,WO-5009,PROD-A,LOT-L24018,PR-01,EQ-01,2026-02-24,DAY,81,1
RESULT-6073,WO-5009,PROD-A,LOT-L24018,PR-02,EQ-02,2026-02-24,NIGHT,85,2
RESULT-6074,WO-5009,PROD-A,LOT-L24018,PR-03,EQ-12,2026-02-24,NIGHT,93,2
RESULT-6075,WO-5009,PROD-A,LOT-L24018,PR-04,EQ-21,2026-02-24,DAY,141,2
RESULT-6076,WO-5009,PROD-A,LOT-L24019,PR-01,EQ-01,2026-02-27,NIGHT,94,2
RESULT-6077,WO-5009,PROD-A,LOT-L24019,PR-02,EQ-02,2026-02-27,DAY,89,1
RESULT-6078,WO-5009,PROD-A,LOT-L24019,PR-03,EQ-11,2026-02-27,NIGHT,183,3
RESULT-6079,WO-5009,PROD-A,LOT-L24019,PR-04,EQ-21,2026-02-27,NIGHT,111,1
RESULT-6080,WO-5010,PROD-A,LOT-L24020,PR-01,EQ-01,2026-03-02,NIGHT,137,3
RESULT-6081,WO-5010,PROD-A,LOT-L24020,PR-02,EQ-02,2026-03-02,DAY,119,2
RESULT-6082,WO-5010,PROD-A,LOT-L24020,PR-03,EQ-11,2026-03-02,DAY,160,7
RESULT-6083,WO-5010,PROD-A,LOT-L24020,PR-04,EQ-21,2026-03-02,DAY,100,2
RESULT-6084,WO-5010,PROD-A,LOT-L24021,PR-01,EQ-01,2026-03-05,NIGHT,137,3
RESULT-6085,WO-5010,PROD-A,LOT-L24021,PR-02,EQ-02,2026-03-05,NIGHT,84,1
RESULT-6086,WO-5010,PROD-A,LOT-L24021,PR-03,EQ-11,2026-03-05,NIGHT,167,8
RESULT-6087,WO-5010,PROD-A,LOT-L24021,PR-04,EQ-21,2026-03-05,DAY,180,4
RESULT-6088,WO-5011,PROD-A,LOT-L24022,PR-01,EQ-01,2026-03-08,NIGHT,108,2
RESULT-6089,WO-5011,PROD-A,LOT-L24022,PR-02,EQ-02,2026-03-08,NIGHT,89,1
RESULT-6090,WO-5011,PROD-A,LOT-L24022,PR-03,EQ-12,2026-03-08,NIGHT,95,2
RESULT-6091,WO-5011,PROD-A,LOT-L24022,PR-04,EQ-21,2026-03-08,NIGHT,200,4
RESULT-6092,WO-5011,PROD-A,LOT-L24023,PR-01,EQ-01,2026-03-11,NIGHT,85,2
RESULT-6093,WO-5011,PROD-A,LOT-L24023,PR-02,EQ-02,2026-03-11,DAY,83,1
RESULT-6094,WO-5011,PROD-A,LOT-L24023,PR-03,EQ-11,2026-03-11,NIGHT,177,9
RESULT-6095,WO-5011,PROD-A,LOT-L24023,PR-04,EQ-21,2026-03-11,NIGHT,146,3
RESULT-6096,WO-5012,PROD-A,LOT-L24024,PR-01,EQ-01,2026-03-14,DAY,161,4
RESULT-6097,WO-5012,PROD-A,LOT-L24024,PR-02,EQ-02,2026-03-14,NIGHT,124,2
RESULT-6098,WO-5012,PROD-A,LOT-L24024,PR-03,EQ-11,2026-03-14,NIGHT,122,6
RESULT-6099,WO-5012,PROD-A,LOT-L24024,PR-04,EQ-21,2026-03-14,NIGHT,116,2
RESULT-6100,WO-5012,PROD-A,LOT-L24025,PR-01,EQ-01,2026-03-17,DAY,120,2
RESULT-6101,WO-5012,PROD-A,LOT-L24025,PR-02,EQ-02,2026-03-17,DAY,190,4
RESULT-6102,WO-5012,PROD-A,LOT-L24025,PR-03,EQ-12,2026-03-17,NIGHT,86,1
RESULT-6103,WO-5012,PROD-A,LOT-L24025,PR-04,EQ-21,2026-03-17,DAY,160,3
RESULT-6104,WO-5013,PROD-A,LOT-L24026,PR-01,EQ-01,2026-03-20,NIGHT,96,2
RESULT-6105,WO-5013,PROD-A,LOT-L24026,PR-02,EQ-02,2026-03-20,DAY,95,1
RESULT-6106,WO-5013,PROD-A,LOT-L24026,PR-03,EQ-12,2026-03-20,NIGHT,150,2
RESULT-6107,WO-5013,PROD-A,LOT-L24026,PR-04,EQ-21,2026-03-20,DAY,108,3
RESULT-6108,WO-5013,PROD-A,LOT-L24027,PR-01,EQ-01,2026-03-23,NIGHT,186,3
RESULT-6109,WO-5013,PROD-A,LOT-L24027,PR-02,EQ-02,2026-03-23,NIGHT,133,3
RESULT-6110,WO-5013,PROD-A,LOT-L24027,PR-03,EQ-12,2026-03-23,DAY,150,2
RESULT-6111,WO-5013,PROD-A,LOT-L24027,PR-04,EQ-21,2026-03-23,NIGHT,190,3
RESULT-6112,WO-5014,PROD-B,LOT-L24028,PR-01,EQ-01,2026-03-26,NIGHT,185,2
RESULT-6113,WO-5014,PROD-B,LOT-L24028,PR-02,EQ-02,2026-03-26,NIGHT,190,2
RESULT-6114,WO-5014,PROD-B,LOT-L24028,PR-03,EQ-12,2026-03-26,NIGHT,150,3
RESULT-6115,WO-5014,PROD-B,LOT-L24028,PR-04,EQ-21,2026-03-26,DAY,199,3
RESULT-6116,WO-5014,PROD-B,LOT-L24029,PR-01,EQ-01,2026-03-29,NIGHT,109,2
RESULT-6117,WO-5014,PROD-B,LOT-L24029,PR-02,EQ-02,2026-03-29,NIGHT,120,2
RESULT-6118,WO-5014,PROD-B,LOT-L24029,PR-03,EQ-11,2026-03-29,DAY,143,3
RESULT-6119,WO-5014,PROD-B,LOT-L24029,PR-04,EQ-21,2026-03-29,NIGHT,191,2
RESULT-6120,WO-5015,PROD-B,LOT-L24030,PR-01,EQ-01,2026-04-01,NIGHT,81,1
RESULT-6121,WO-5015,PROD-B,LOT-L24030,PR-02,EQ-02,2026-04-01,NIGHT,89,1
RESULT-6122,WO-5015,PROD-B,LOT-L24030,PR-03,EQ-12,2026-04-01,NIGHT,163,2
RESULT-6123,WO-5015,PROD-B,LOT-L24030,PR-04,EQ-21,2026-04-01,NIGHT,120,2
RESULT-6124,WO-5015,PROD-B,LOT-L24031,PR-01,EQ-01,2026-04-04,NIGHT,160,3
RESULT-6125,WO-5015,PROD-B,LOT-L24031,PR-02,EQ-02,2026-04-04,DAY,175,2
RESULT-6126,WO-5015,PROD-B,LOT-L24031,PR-03,EQ-12,2026-04-04,DAY,101,2
RESULT-6127,WO-5015,PROD-B,LOT-L24031,PR-04,EQ-21,2026-04-04,NIGHT,121,2
RESULT-6128,WO-5016,PROD-B,LOT-L24032,PR-01,EQ-01,2026-04-07,NIGHT,98,1
RESULT-6129,WO-5016,PROD-B,LOT-L24032,PR-02,EQ-02,2026-04-07,NIGHT,101,1
RESULT-6130,WO-5016,PROD-B,LOT-L24032,PR-03,EQ-12,2026-04-07,DAY,196,4
RESULT-6131,WO-5016,PROD-B,LOT-L24032,PR-04,EQ-21,2026-04-07,NIGHT,161,2
RESULT-6132,WO-5016,PROD-B,LOT-L24033,PR-01,EQ-01,2026-04-10,DAY,166,3
RESULT-6133,WO-5016,PROD-B,LOT-L24033,PR-02,EQ-02,2026-04-10,NIGHT,200,3
RESULT-6134,WO-5016,PROD-B,LOT-L24033,PR-03,EQ-12,2026-04-10,DAY,138,3
RESULT-6135,WO-5016,PROD-B,LOT-L24033,PR-04,EQ-21,2026-04-10,DAY,189,3
RESULT-6136,WO-5017,PROD-B,LOT-L24034,PR-01,EQ-01,2026-04-13,NIGHT,153,2
RESULT-6137,WO-5017,PROD-B,LOT-L24034,PR-02,EQ-02,2026-04-13,NIGHT,186,4
RESULT-6138,WO-5017,PROD-B,LOT-L24034,PR-03,EQ-11,2026-04-13,NIGHT,196,4
RESULT-6139,WO-5017,PROD-B,LOT-L24034,PR-04,EQ-21,2026-04-13,NIGHT,179,4
RESULT-6140,WO-5017,PROD-B,LOT-L24035,PR-01,EQ-01,2026-04-16,DAY,112,2
RESULT-6141,WO-5017,PROD-B,LOT-L24035,PR-02,EQ-02,2026-04-16,DAY,195,4
RESULT-6142,WO-5017,PROD-B,LOT-L24035,PR-03,EQ-12,2026-04-16,DAY,84,1
RESULT-6143,WO-5017,PROD-B,LOT-L24035,PR-04,EQ-21,2026-04-16,NIGHT,196,3
RESULT-6144,WO-5018,PROD-B,LOT-L24036,PR-01,EQ-01,2026-04-19,NIGHT,180,3
RESULT-6145,WO-5018,PROD-B,LOT-L24036,PR-02,EQ-02,2026-04-19,NIGHT,186,2
RESULT-6146,WO-5018,PROD-B,LOT-L24036,PR-03,EQ-12,2026-04-19,DAY,182,2
RESULT-6147,WO-5018,PROD-B,LOT-L24036,PR-04,EQ-21,2026-04-19,NIGHT,176,4
RESULT-6148,WO-5018,PROD-B,LOT-L24037,PR-01,EQ-01,2026-04-22,DAY,130,1
RESULT-6149,WO-5018,PROD-B,LOT-L24037,PR-02,EQ-02,2026-04-22,NIGHT,127,2
RESULT-6150,WO-5018,PROD-B,LOT-L24037,PR-03,EQ-12,2026-04-22,NIGHT,93,2
RESULT-6151,WO-5018,PROD-B,LOT-L24037,PR-04,EQ-21,2026-04-22,NIGHT,159,3
RESULT-6152,WO-5019,PROD-B,LOT-L24038,PR-01,EQ-01,2026-04-25,NIGHT,185,3
RESULT-6153,WO-5019,PROD-B,LOT-L24038,PR-02,EQ-02,2026-04-25,DAY,94,1
RESULT-6154,WO-5019,PROD-B,LOT-L24038,PR-03,EQ-12,2026-04-25,DAY,94,1
RESULT-6155,WO-5019,PROD-B,LOT-L24038,PR-04,EQ-21,2026-04-25,NIGHT,138,2
RESULT-6156,WO-5019,PROD-B,LOT-L24039,PR-01,EQ-01,2026-04-28,NIGHT,92,2
RESULT-6157,WO-5019,PROD-B,LOT-L24039,PR-02,EQ-02,2026-04-28,DAY,84,1
RESULT-6158,WO-5019,PROD-B,LOT-L24039,PR-03,EQ-12,2026-04-28,DAY,110,2
RESULT-6159,WO-5019,PROD-B,LOT-L24039,PR-04,EQ-21,2026-04-28,NIGHT,149,3
