defect_id,lot_id,product_id,process_id,equipment_id,defect_type,defect_qty,detected_at
DEF-7051,LOT-L24012,PROD-A,PR-04,EQ-21,Cosmetic Scratch,3,2026-02-06T00:00:00
DEF-7052,LOT-L24013,PROD-A,PR-01,EQ-01,Solder Crack,3,2026-02-09T00:00:00
DEF-7053,LOT-L24013,PROD-A,PR-02,EQ-02,Cosmetic Scratch,2,2026-02-09T00:00:00
DEF-7054,LOT-L24013,PROD-A,PR-03,EQ-12,Cosmetic Scratch,1,2026-02-09T00:00:00
DEF-7055,LOT-L24013,PROD-A,PR-04,EQ-21,Misalignment,3,2026-02-09T00:00:00
DEF-7056,LOT-L24014,PROD-A,PR-01,EQ-01,Open Circuit,3,2026-02-12T00:00:00
DEF-7057,LOT-L24014,PROD-A,PR-02,EQ-02,Solder Crack,2,2026-02-12T00:00:00
DEF-7058,LOT-L24014,PROD-A,PR-03,EQ-11,Open Circuit,4,2026-02-12T00:00:00
DEF-7059,LOT-L24014,PROD-A,PR-04,EQ-21,Solder Crack,2,2026-02-12T00:00:00
DEF-7060,LOT-L24015,PROD-A,PR-01,EQ-01,Misalignment,3,2026-02-15T00:00:00
DEF-7061,LOT-L24015,PROD-A,PR-02,EQ-02,Solder Crack,2,2026-02-15T00:00:00
DEF-7062,LOT-L24015,PROD-A,PR-03,EQ-12,Cosmetic Scratch,1,2026-02-15T00:00:00
DEF-7063,LOT-L24015,PROD-A,PR-04,EQ-21,Misalignment,2,2026-02-15T00:00:00
DEF-7064,LOT-L24016,PROD-A,PR-01,EQ-01,Cosmetic Scratch,3,2026-02-18T00:00:00
DEF-7065,LOT-L24016,PROD-A,PR-02,EQ-02,Solder Crack,1,2026-02-18T00:00:00
DEF-7066,LOT-L24016,PROD-A,PR-03,EQ-12,Open Circuit,2,2026-02-18T00:00:00
DEF-7067,LOT-L24016,PROD-A,PR-04,EQ-21,Open Circuit,3,2026-02-18T00:00:00
DEF-7068,LOT-L24017,PROD-A,PR-01,EQ-01,Solder Crack,1,2026-02-21T00:00:00
DEF-7069,LOT-L24017,PROD-A,PR-02,EQ-02,Misalignment,2,2026-02-21T00:00:00
DEF-7070,LOT-L24017,PROD-A,PR-03,EQ-11,Cosmetic Scratch,3,2026-02-21T00:00:00
DEF-7071,LOT-L24017,PROD-A,PR-04,EQ-21,Solder Crack,2,2026-02-21T00:00:00
DEF-7072,LOT-L24018,PROD-A,PR-01,EQ-01,Solder Crack,1,2026-02-24T00:00:00
DEF-7073,LOT-L24018,PROD-A,PR-02,EQ-02,Misalignment,2,2026-02-24T00:00:00
DEF-7074,LOT-L24018,PROD-A,PR-03,EQ-12,Open Circuit,2,2026-02-24T00:00:00
DEF-7075,LOT-L24018,PROD-A,PR-04,EQ-21,Cosmetic Scratch,2,2026-02-24T00:00:00
DEF-7076,LOT-L24019,PROD-A,PR-01,EQ-01,Open Circuit,2,2026-02-27T00:00:00
DEF-7077,LOT-L24019,PROD-A,PR-02,EQ-02,Misalignment,1,2026-02-27T00:00:00
DEF-7078,LOT-L24019,PROD-A,PR-03,EQ-11,Cosmetic Scratch,3,2026-02-27T00:00:00
DEF-7079,LOT-L24019,PROD-A,PR-04,EQ-21,Misalignment,1,2026-02-27T00:00:00
DEF-7080,LOT-L24020,PROD-A,PR-01,EQ-01,Open Circuit,3,2026-03-02T00:00:00
DEF-7081,LOT-L24020,PROD-A,PR-02,EQ-02,Cosmetic Scratch,2,2026-03-02T00:00:00
DEF-7082,LOT-L24020,PROD-A,PR-03,EQ-11,Solder Crack,7,2026-03-02T00:00:00
DEF-7083,LOT-L24020,PROD-A,PR-04,EQ-21,Misalignment,2,2026-03-02T00:00:00
DEF-7084,LOT-L24021,PROD-A,PR-01,EQ-01,Solder Crack,3,2026-03-05T00:00:00
DEF-7085,LOT-L24021,PROD-A,PR-02,EQ-02,Open Circuit,1,2026-03-05T00:00:00
DEF-7086,LOT-L24021,PROD-A,PR-03,EQ-11,Solder Crack,8,2026-03-05T00:00:00
DEF-7087,LOT-L24021,PROD-A,PR-04,EQ-21,Open Circuit,4,2026-03-05T00:00:00
DEF-7088,LOT-L24022,PROD-A,PR-01,EQ-01,Misalignment,2,2026-03-08T00:00:00
DEF-7089,LOT-L24022,PROD-A,PR-02,EQ-02,Solder Crack,1,2026-03-08T00:00:00
DEF-7090,LOT-L24022,PROD-A,PR-03,EQ-12,Open Circuit,2,2026-03-08T00:00:00
DEF-7091,LOT-L24022,PROD-A,PR-04,EQ-21,Open Circuit,4,2026-03-08T00:00:00
DEF-7092,LOT-L24023,PROD-A,PR-01,EQ-01,Solder Crack,2,2026-03-11T00:00:00
DEF-7093,LOT-L24023,PROD-A,PR-02,EQ-02,Solder Crack,1,2026-03-11T00:00:00
DEF-7094,LOT-L24023,PROD-A,PR-03,EQ-11,Solder Crack,9,2026-03-11T00:00:00
DEF-7095,LOT-L24023,PROD-A,PR-04,EQ-21,Misalignment,3,2026-03-11T00:00:00
DEF-7096,LOT-L24024,PROD-A,PR-01,EQ-01,Open Circuit,4,2026-03-14T00:00:00
DEF-7097,LOT-L24024,PROD-A,PR-02,EQ-02,Cosmetic Scratch,2,2026-03-14T00:00:00
DEF-7098,LOT-L24024,PROD-A,PR-03,EQ-11,Solder Crack,6,2026-03-14T00:00:00
DEF-7099,LOT-L24024,PROD-A,PR-04,EQ-21,Cosmetic Scratch,2,2026-03-14T00:00:00
DEF-7100,LOT-L24025,PROD-A,PR-01,EQ-01,Open Circuit,2,2026-03-17T00:00:00
DEF-7101,LOT-L24025,PROD-A,PR-02,EQ-02,Open Circuit,4,2026-03-17T00:00:00
DEF-7102,LOT-L24025,PROD-A,PR-03,EQ-12,Open Circuit,1,2026-03-17T00:00:00
DEF-7103,LOT-L24025,PROD-A,PR-04,EQ-21,Misalignment,3,2026-03-17T00:00:00
DEF-7104,LOT-L24026,PROD-A,PR-01,EQ-01,Open Circuit,2,2026-03-20T00:00:00
DEF-7105,LOT-L24026,PROD-A,PR-02,EQ-02,Misalignment,1,2026-03-20T00:00:00
DEF-7106,LOT-L24026,PROD-A,PR-03,EQ-12,Cosmetic Scratch,2,2026-03-20T00:00:00
DEF-7107,LOT-L24026,PROD-A,PR-04,EQ-21,Open Circuit,3,2026-03-20T00:00:00
DEF-7108,LOT-L24027,PROD-A,PR-01,EQ-01,Solder Crack,3,2026-03-23T00:00:00
DEF-7109,LOT-L24027,PROD-A,PR-02,EQ-02,Misalignment,3,2026-03-23T00:00:00
DEF-7110,LOT-L24027,PROD-A,PR-03,EQ-12,Misalignment,2,2026-03-23T00:00:00
DEF-7111,LOT-L24027,PROD-A,PR-04,EQ-21,Solder Crack,3,2026-03-23T00:00:00
DEF-7112,LOT-L24028,PROD-B,PR-01,EQ-01,Open Circuit,2,2026-03-26T00:00:00
DEF-7113,LOT-L24028,PROD-B,PR-02,EQ-02,Solder Crack,2,2026-03-26T00:00:00
DEF-7114,LOT-L24028,PROD-B,PR-03,EQ-12,Open Circuit,3,2026-03-26T00:00:00
DEF-7115,LOT-L24028,PROD-B,PR-04,EQ-21,Misalignment,3,2026-03-26T00:00:00
DEF-7116,LOT-L24029,PROD-B,PR-01,EQ-01,Cosmetic Scratch,2,2026-03-29T00:00:00
DEF-7117,LOT-L24029,PROD-B,PR-02,EQ-02,Open Circuit,2,2026-03-29T00:00:00
DEF-7118,LOT-L24029,PROD-B,PR-03,EQ-11,Solder Crack,3,2026-03-29T00:00:00
DEF-7119,LOT-L24029,PROD-B,PR-04,EQ-21,Cosmetic Scratch,2,2026-03-29T00:00:00
DEF-7120,LOT-L24030,PROD-B,PR-01,EQ-01,Misalignment,1,2026-04-01T00:00:00
DEF-7121,LOT-L24030,PROD-B,PR-02,EQ-02,Solder Crack,1,2026-04-01T00:00:00
DEF-7122,LOT-L24030,PROD-B,PR-03,EQ-12,Open Circuit,2,2026-04-01T00:00:00
DEF-7123,LOT-L24030,PROD-B,PR-04,EQ-21,Cosmetic Scratch,2,2026-04-01T00:00:00
DEF-7124,LOT-L24031,PROD-B,PR-01,EQ-01,Misalignment,3,2026-04-04T00:00:00
DEF-7125,LOT-L24031,PROD-B,PR-02,EQ-02,Cosmetic Scratch,2,2026-04-04T00:00:00
DEF-7126,LOT-L24031,PROD-B,PR-03,EQ-12,Cosmetic Scratch,2,2026-04-04T00:00:00
DEF-7127,LOT-L24031,PROD-B,PR-04,EQ-21,Solder Crack,2,2026-04-04T00:00:00
DEF-7128,LOT-L24032,PROD-B,PR-01,EQ-01,Misalignment,1,2026-04-07T00:00:00
DEF-7129,LOT-L24032,PROD-B,PR-02,EQ-02,Misalignment,1,2026-04-07T00:00:00
DEF-7130,LOT-L24032,PROD-B,PR-03,EQ-12,Open Circuit,4,2026-04-07T00:00:00
DEF-7131,LOT-L24032,PROD-B,PR-04,EQ-21,Cosmetic Scratch,2,2026-04-07T00:00:00
DEF-7132,LOT-L24033,PROD-B,PR-01,EQ-01,Open Circuit,3,2026-04-10T00:00:00
DEF-7133,LOT-L24033,PROD-B,PR-02,EQ-02,Open Circuit,3,2026-04-10T00:00:00
DEF-7134,LOT-L24033,PROD-B,PR-03,EQ-12,Open Circuit,3,2026-04-10T00:00:00
DEF-7135,LOT-L24033,PROD-B,PR-04,EQ-21,Open Circuit,3,2026-04-10T00:00:00
DEF-7136,LOT-L24034,PROD-B,PR-01,EQ-01,Cosmetic Scratch,2,2026-04-13T00:00:00
DEF-7137,LOT-L24034,PROD-B,PR-02,EQ-02,Cosmetic Scratch,4,2026-04-13T00:00:00
DEF-7138,LOT-L24034,PROD-B,PR-03,EQ-11,Solder Crack,4,2026-04-13T00:00:00
DEF-7139,LOT-L24034,PROD-B,PR-04,EQ-21,Misalignment,4,2026-04-13T00:00:00
DEF-7140,LOT-L24035,PROD-B,PR-01,EQ-01,Cosmetic Scratch,2,2026-04-16T00:00:00
DEF-7141,LOT-L24035,PROD-B,PR-02,EQ-02,Solder Crack,4,2026-04-16T00:00:00
DEF-7142,LOT-L24035,PROD-B,PR-03,EQ-12,Cosmetic Scratch,1,2026-04-16T00:00:00
DEF-7143,LOT-L24035,PROD-B,PR-04,EQ-21,Misalignment,3,2026-04-16T00:00:00
DEF-7144,LOT-L24036,PROD-B,PR-01,EQ-01,Solder Crack,3,2026-04-19T00:00:00
DEF-7145,LOT-L24036,PROD-B,PR-02,EQ-02,Solder Crack,2,2026-04-19T00:00:00
DEF-7146,LOT-L24036,PROD-B,PR-03,EQ-12,Misalignment,2,2026-04-19T00:00:00
DEF-7147,LOT-L24036,PROD-B,PR-04,EQ-21,Solder Crack,4,2026-04-19T00:00:00
DEF-7148,LOT-L24037,PROD-B,PR-01,EQ-01,Open Circuit,1,2026-04-22T00:00:00
DEF-7149,LOT-L24037,PROD-B,PR-02,EQ-02,Open Circuit,2,2026-04-22T00:00:00
DEF-7150,LOT-L24037,PROD-B,PR-03,EQ-12,Cosmetic Scratch,2,2026-04-22T00:00:00
DEF-7151,LOT-L24037,PROD-B,PR-04,EQ-21,Misalignment,3,2026-04-22T00:00:00
DEF-7152,LOT-L24038,PROD-B,PR-01,EQ-01,Open Circuit,3,2026-04-25T00:00:00
DEF-7153,LOT-L24038,PROD-B,PR-02,EQ-02,Solder Crack,1,2026-04-25T00:00:00
DEF-7154,LOT-L24038,PROD-B,PR-03,EQ-12,Open Circuit,1,2026-04-25T00:00:00
DEF-7155,LOT-L24038,PROD-B,PR-04,EQ-21,Misalignment,2,2026-04-25T00:00:00
DEF-7156,LOT-L24039,PROD-B,PR-01,EQ-01,Solder Crack,2,2026-04-28T00:00:00
DEF-7157,LOT-L24039,PROD-B,PR-02,EQ-02,Open Circuit,1,2026-04-28T00:00:00
DEF-7158,LOT-L24039,PROD-B,PR-03,EQ-12,Solder Crack,2,2026-04-28T00:00:00
DEF-7159,LOT-L24039,PROD-B,PR-04,EQ-21,Cosmetic Scratch,3,2026-04-28T00:00:00
